condition,quota
data$x[data$PT==1],1200
data$x[data$PT==2],300
data$x[data$CT==1],210
data$x[data$CT==2],465
data$x[data$CT==3],825
data$x[data$Q2==1],165
data$x[data$Q2==2],315
data$x[data$Q2==3],585
data$x[data$Q2==4],435
data$x[data$REGION==1],270
data$x[data$REGION==2],405
data$x[data$REGION==3],420
data$x[data$REGION==4],405
data$x[data$Q2==1&data$Q1==1],30
data$x[data$Q2==1&data$Q1==2],60
data$x[data$Q2==1&data$Q1==3],45
data$x[data$Q2==1&data$Q1==4],30
data$x[(data$Q2==2|data$Q2==3)&data$Q1==1],165
data$x[(data$Q2==2|data$Q2==3)&data$Q1==2],300
data$x[(data$Q2==2|data$Q2==3)&data$Q1==3],270
data$x[(data$Q2==2|data$Q2==3)&data$Q1==4],165
data$x[data$Q2==4&data$Q1==1],75
data$x[data$Q2==4&data$Q1==2],150
data$x[data$Q2==4&data$Q1==3],135
data$x[data$Q2==4&data$Q1==4],75
