IOBS,WEEK,AGE,CTCT,City,Income
1,3,4,1,5,2
2,4,4,1,1,4
3,2,4,2,2,4
4,1,4,1,7,1
5,4,4,2,2,2
6,2,4,1,7,1
8,4,4,2,5,2
9,1,4,1,6,1
10,3,4,1,4,4
11,4,4,1,7,4
12,3,3,1,3,3
13,1,4,1,5,1
14,2,2,1,2,4
16,3,2,2,5,1
17,4,2,2,7,1
18,4,3,1,3,3
19,2,3,2,4,1
20,1,3,2,5,2
21,3,4,2,5,3
22,1,2,2,8,1
23,2,3,2,4,3
24,4,4,1,2,3
25,2,3,2,4,3
26,1,3,2,5,2
28,4,4,2,4,1
29,2,3,2,7,1
30,2,4,1,8,3
31,4,3,1,4,2
32,4,4,1,5,3
34,3,4,2,6,3
35,3,3,2,1,3
36,1,3,1,4,2
37,1,4,1,2,1
38,1,4,1,2,3
39,4,4,1,1,3
40,2,3,2,8,2
41,3,4,1,3,1
42,1,4,1,8,3
43,2,3,2,7,2
44,1,4,2,3,4
46,1,4,1,6,1
47,1,3,1,3,3
48,1,4,2,1,2
49,3,3,1,3,4
50,4,3,1,1,3
51,3,2,2,1,3
52,2,3,2,4,2
53,3,3,2,8,3
54,3,4,1,1,2
55,3,4,1,8,1
56,1,3,1,4,2
57,2,3,2,3,4
58,4,4,1,2,4
59,2,4,1,8,1
60,4,3,1,2,4
61,4,4,2,5,1
62,4,4,1,5,3
63,2,4,2,3,3
64,4,4,1,8,1
66,3,3,2,1,4
67,1,4,1,8,3
68,4,3,1,5,2
69,2,3,2,7,4
70,1,3,2,6,3
71,3,4,1,7,1
72,2,4,1,8,3
73,4,4,2,5,2
74,4,3,2,4,3
75,4,4,1,8,1
76,1,4,2,5,2
77,4,2,1,1,2
78,3,4,2,5,1
79,1,4,2,8,2
80,4,2,1,7,3
81,4,4,2,4,1
82,4,4,2,5,1
83,1,3,1,8,3
84,4,4,2,1,3
85,1,4,1,6,3
86,3,4,1,7,2
87,1,4,2,8,2
88,1,4,2,1,2
89,2,4,2,1,4
90,3,2,2,5,1
91,1,4,2,5,1
92,2,4,1,3,1
93,4,3,1,3,1
94,2,2,1,6,1
95,2,4,2,5,1
96,3,3,1,3,2
97,4,3,2,6,3
98,1,3,2,4,1
99,3,2,1,2,1
100,2,3,2,6,2
101,4,4,1,2,4
102,1,4,2,4,3
103,3,3,2,2,3
104,1,3,1,2,2
105,3,4,2,3,4
106,2,2,2,1,2
107,4,4,1,7,3
108,1,3,2,1,2
109,2,3,1,7,3
110,2,4,2,4,2
111,2,2,1,5,3
112,4,4,2,6,3
113,3,4,2,6,2
114,2,4,2,3,4
115,4,4,1,5,3
116,1,4,2,1,1
117,3,3,2,7,1
118,4,2,1,2,1
119,2,4,2,4,2
120,4,4,2,5,2
121,3,3,2,7,3
122,3,4,2,4,1
123,3,2,2,6,2
124,2,2,2,8,2
125,2,4,1,4,2
127,1,3,2,4,1
128,4,4,2,6,2
129,3,2,1,1,3
130,3,4,2,2,1
131,4,4,1,8,2
132,1,2,1,1,4
134,3,3,2,7,1
135,3,3,1,4,2
136,2,4,1,1,3
137,2,4,1,6,1
138,4,3,1,8,3
139,3,4,2,8,2
140,3,4,1,6,4
141,1,4,1,4,1
143,4,4,1,3,2
144,4,4,1,1,2
145,2,3,1,5,1
146,2,4,2,3,3
147,2,2,2,5,1
148,4,2,2,5,4
149,3,3,1,6,3
150,4,2,1,4,4
151,1,4,2,7,4
152,3,4,2,8,3
153,3,2,1,2,1
154,1,4,2,1,2
155,1,4,1,6,1
156,3,3,1,4,2
157,4,4,1,3,1
158,4,4,1,1,3
159,4,3,1,5,3
160,1,2,2,3,1
161,1,4,2,4,1
162,3,4,2,7,3
164,1,4,1,3,3
165,4,2,1,5,3
166,4,2,2,4,1
167,4,3,2,5,2
168,4,2,1,6,1
169,1,4,2,7,1
170,1,3,2,7,2
171,1,4,2,5,3
172,4,3,2,3,1
173,2,3,2,1,3
174,3,3,1,5,1
175,1,4,1,3,2
176,2,4,1,8,3
177,1,3,2,6,4
178,3,3,1,4,1
179,3,4,1,2,3
180,3,2,2,4,3
181,1,2,1,7,3
182,2,4,1,6,2
183,4,4,2,2,2
184,4,4,1,6,2
185,2,2,2,2,4
186,1,4,2,5,1
188,4,4,2,5,2
189,4,2,1,5,2
190,2,4,2,8,3
191,1,3,2,7,1
192,1,2,1,1,3
193,3,2,2,8,1
194,3,2,1,6,2
195,1,4,2,2,4
197,4,3,1,8,4
198,4,3,2,2,3
199,4,2,1,8,1
200,2,4,1,5,2
201,1,2,2,3,4
202,3,2,2,5,3
203,2,4,1,4,2
204,2,3,2,2,3
205,4,2,2,8,2
206,4,2,1,3,4
207,4,4,1,4,1
208,1,4,2,2,3
209,2,4,1,1,3
210,4,3,2,6,2
211,2,2,2,6,1
212,1,3,1,4,2
213,4,4,1,7,3
